ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
1;-9,82;-66,88;ACRELANDIA - AC;ACRELANDIA;AC;39560,03891
2;-10,94;-69,56;ASSIS BRASIL - AC;ASSIS BRASIL;AC;17842,15099
3;-11,01;-68,74;BRASILEIA - AC;BRASILEIA;AC;93373,39431
4;-9,83;-67,95;BUJARI - AC;BUJARI;AC;28516,56749
5;-10,57;-67,67;CAPIXABA - AC;CAPIXABA;AC;18886,45514
6;-7,63;-72,67;CRUZEIRO DO SUL - AC;CRUZEIRO DO SUL;AC;364586,1383
7;-11,02;-68,74;EPITACIOLANDIA - AC;EPITACIOLANDIA;AC;60489,73992
8;-8,16;-70,35;FEIJO - AC;FEIJO;AC;140665,2479
9;-9,43;-71,88;JORDAO - AC;JORDAO;AC;25407,1545
10;-7,61;-72,89;MANCIO LIMA - AC;MANCIO LIMA;AC;55464,22245
11;-8,83;-69,26;MANOEL URBANO - AC;MANOEL URBANO;AC;36200,02439
12;-8,94;-72,79;MARECHAL THAUMATURGO - AC;MARECHAL THAUMATURGO;AC;50555,10106
13;-10,27;-67,15;PLACIDO DE CASTRO - AC;PLACIDO DE CASTRO;AC;83591,73849
14;-9,58;-67,53;PORTO ACRE - AC;PORTO ACRE;AC;51717,89396
15;-8,26;-72,74;PORTO WALTER - AC;PORTO WALTER;AC;35809,97762
16;-9,97;-67,81;RIO BRANCO - AC;RIO BRANCO;AC;1476048,62
17;-7,74;-72,64;RODRIGUES ALVES - AC;RODRIGUES ALVES;AC;54883,18757
18;-9,43;-70,49;SANTA ROSA DO PURUS - AC;SANTA ROSA DO PURUS;AC;10990,21933
19;-9,06;-68,65;SENA MADUREIRA - AC;SENA MADUREIRA;AC;155217,0055
20;-10,15;-67,73;SENADOR GUIOMARD - AC;SENADOR GUIOMARD;AC;88074,5791
21;-8,16;-70,76;TARAUACA - AC;TARAUACA;AC;152932,1275
22;-10,65;-68,5;XAPURI - AC;XAPURI;AC;84617,85017
23;-9,26;-37,93;AGUA BRANCA - AL;AGUA BRANCA;AL;114328,5131
24;-9,68;-36,3;ANADIA - AL;ANADIA;AL;107939,8285
25;-9,75;-36,66;ARAPIRACA - AL;ARAPIRACA;AL;1040633,644
26;-9,5;-36,02;ATALAIA - AL;ATALAIA;AL;256028,8436
27;-9,4;-35,5;BARRA DE SANTO ANTONIO - AL;BARRA DE SANTO ANTONIO;AL;56980,26168
28;-9,84;-35,9;BARRA DE SAO MIGUEL - AL;BARRA DE SAO MIGUEL;AL;37840,14071
29;-9,67;-37,12;BATALHA - AL;BATALHA;AL;85456,7204
30;-9,57;-36,49;BELEM - AL;BELEM;AL;35555,01859
31;-9,82;-37,28;BELO MONTE - AL;BELO MONTE;AL;41688,04103
32;-9,64;-36,22;BOCA DA MATA - AL;BOCA DA MATA;AL;133949,7474
33;-9,24;-36,01;BRANQUINHA - AL;BRANQUINHA;AL;64397,61932
34;-9,4;-36,99;CACIMBINHAS - AL;CACIMBINHAS;AL;59926,11939
35;-9,39;-36,15;CAJUEIRO - AL;CAJUEIRO;AL;118961,2233
36;-8,84;-35,56;CAMPESTRE - AL;CAMPESTRE;AL;43221,24914
37;-9,78;-36,35;CAMPO ALEGRE - AL;CAMPO ALEGRE;AL;261420,0667
38;-9,95;-36,79;CAMPO GRANDE - AL;CAMPO GRANDE;AL;63902,9201
39;-9,12;-37,6;CANAPI - AL;CANAPI;AL;111852,9448
40;-9,4;-36,07;CAPELA - AL;CAPELA;AL;139295,5462
41;-9,48;-37,37;CARNEIROS - AL;CARNEIROS;AL;37924,70365
42;-9,25;-36,29;CHA PRETA - AL;CHA PRETA;AL;47759,93799
43;-9,63;-36,57;COITE DO NOIA - AL;COITE DO NOIA;AL;65066,04955
44;-8,9;-35,72;COLONIA LEOPOLDINA - AL;COLONIA LEOPOLDINA;AL;117899,2748
45;-9,63;-35,8;COQUEIRO SECO - AL;COQUEIRO SECO;AL;34157,95789
46;-10,12;-36,17;CORURIPE - AL;CORURIPE;AL;292231,0139
47;-9,61;-36,76;CRAIBAS - AL;CRAIBAS;AL;117417,8934
48;-9,38;-37,99;DELMIRO GOUVEIA - AL;DELMIRO GOUVEIA;AL;245993,5408
49;-9,39;-37,1;DOIS RIACHOS - AL;DOIS RIACHOS;AL;71876,63598
50;-9,39;-36,76;ESTRELA DE ALAGOAS - AL;ESTRELA DE ALAGOAS;AL;104154,5852
